"","ibge_code","ibge_name","taxes_2010","taxes_2014","gdp_2010","gdp_2014","pop_2010","pop_2014","taxes_per_capita","taxes_per_gdp","taxes_growth","gdp_growth","pop_growth","Center","Left","Right","Total","delta"
"53",2407609,"Messias Targino",1797.858,6515.626,21148.634,65296.275,4188,4489,1.4514649142348,0.0997855696975057,0.379749324707931,0.325566504037608,0.017503081364286,3,2459,646,3108,0.583333333333333
"54",5207352,"Edealina",4585.114,12518.923,69633.581,214525.077,3733,3816,3.28064019916143,0.0583564549891759,0.285447096216299,0.324844277349819,0.00551277815902762,0,1667,1014,2681,0.243565833644163
"55",3505351,"Barra do Chapéu",548.146,1008.443,25657.661,78662.548,5236,5550,0.181701441441441,0.0128198618737852,0.164632154965062,0.323237306965367,0.0146665333357645,2,2505,748,3255,0.539784946236559
"56",5107859,"São Félix do Araguaia",8339.706,22386.368,116930.15,352457.084,10531,11039,2.02793441434913,0.0635151597633941,0.279994856490599,0.317634429280963,0.0118474234526311,0,1692,2173,3865,-0.124450194049159
"57",4300661,"André da Rocha",1339.346,2059.3,35657.209,107468.069,1216,1286,1.60132192846034,0.0191619707989729,0.113542272949928,0.31759829665898,0.0140908132408033,0,320,529,849,-0.246171967020024
"58",3100104,"Abadia dos Dourados",3466.555,10363.011,63672.215,191575.464,6704,6992,1.48212399885584,0.0540936233880138,0.314912839339734,0.31703550207658,0.0105710516944348,1,2874,1461,4336,0.325876383763838
"59",2100303,"Aldeias Altas",3701.976,5609.03,77637.618,232868.413,23952,25509,0.219884354541534,0.0240866931145359,0.109464833387304,0.316011229995715,0.0158694795037897,31,9562,803,10396,0.842535590611774
"60",2500601,"Alhandra",55012.85,137413.905,238949.359,715032.61,18001,19057,7.21067875321404,0.19217851476732,0.257163126069172,0.315239958459526,0.0143538350558632,1,9045,3108,12154,0.488481158466349
"61",3514304,"Dourado",17911.316,60887.023,126039.214,376572.402,8607,8890,6.84893397075366,0.161687427641073,0.357842228767289,0.314727359160508,0.00812060061992859,1,1915,3094,5010,-0.235329341317365
"62",4124806,"São João",16218.863,49432.49,175479.498,523960.42,10607,10743,4.60136740202923,0.0943439391853301,0.321289611642658,0.31452250140818,0.00319013246673805,5,3683,2910,6598,0.117156714155805
"63",3204302,"Presidente Kennedy",23890.026,66128.443,3082026.938,9146167.375,10315,11221,5.89327537652616,0.00723018071818306,0.28986102086271,0.312504129851964,0.0212700185832686,1,4676,3007,7684,0.217204580947423
"64",1304302,"Urucará",2189.376,3235.558,102019.917,300792.807,17019,17264,0.187416473586654,0.0107567665339816,0.10257263410306,0.310375064470435,0.00357965208147504,0,7025,604,7629,0.841656835758291
"65",3521101,"Ipeúna",24009.258,71925.957,200670.429,588899.447,6016,6778,10.6116785187371,0.122136227782873,0.315608672325344,0.30884868754947,0.030263785246792,0,1692,2125,3817,-0.113439874246791
"66",2606101,"Glória do Goitá",3460.529,32046.876,123207.201,360986.405,29675,30111,1.0642913221082,0.0887758529299739,0.7444591407043,0.30831912131663,0.0036530594673021,1,14267,1069,15337,0.86053335072048
"67",2312403,"São Gonçalo do Amarante",101627.405,320996.724,517967.402,1515257.375,43947,46783,6.86139674668149,0.21184303689662,0.333129813747074,0.30781403723079,0.0157567301561292,4,22587,5121,27712,0.630268475750577
